REGION,CATEGORY,TECHNOLOGY,AMOUNT (2020 USD MILLION),YEAR
Europe,Renewables,Multiple renewables,0.58,2020
Europe,Renewables,Multiple renewables,4.88,2019
Europe,Renewables,Multiple renewables,0.68,2020
Europe,Renewables,Solar energy,0.78,2020
Europe,Renewables,Multiple renewables,0.16,2020
Europe,Renewables,Multiple renewables,3.11,2020
Europe,Renewables,Multiple renewables,1.19,2020
Europe,Renewables,Multiple renewables,2.33,2020
Middle East,Renewables,Multiple renewables,0.07,2018
Middle East,Renewables,Multiple renewables,0.07,2011
Middle East,Renewables,Multiple renewables,0.52,2011
Middle East,Renewables,Multiple renewables,0.18,2009
Middle East,Renewables,Multiple renewables,0.07,2015
Middle East,Renewables,Multiple renewables,0,2015
Middle East,Non-renewables,Nuclear,0.33,2015
Middle East,Renewables,Solar energy,0.01,2017
Middle East,Renewables,Multiple renewables,0.84,2018
Middle East,Renewables,Multiple renewables,0.31,2019
Middle East,Renewables,Multiple renewables,8.32,2018
Middle East,Non-renewables,Nuclear,1.15,2018
Middle East,Non-renewables,Nuclear,0.31,2009
Middle East,Non-renewables,Nuclear,0.01,2012
Middle East,Non-renewables,Nuclear,0.1,2009
Middle East,Non-renewables,Nuclear,1.12,2008
Middle East,Non-renewables,Nuclear,0.34,2008
Middle East,Non-renewables,Nuclear,0.72,2008
Middle East,Non-renewables,Nuclear,0.49,2010
Middle East,Non-renewables,Nuclear,0.58,2011
Middle East,Non-renewables,Nuclear,1.53,2010
Middle East,Non-renewables,Nuclear,2.92,2010
Middle East,Non-renewables,Nuclear,0.05,2010
Middle East,Non-renewables,Nuclear,0.4,2018
Middle East,Non-renewables,Nuclear,0.21,2015
Middle East,Non-renewables,Nuclear,0.37,2017
Middle East,Non-renewables,Nuclear,0.14,2017
Middle East,Non-renewables,Nuclear,0.32,2018
Middle East,Renewables,Solar energy,5.85,2018
Middle East,Renewables,Solar energy,0.69,2018
Middle East,Renewables,Multiple renewables,25.88,2018
Middle East,Renewables,Multiple renewables,0.13,2011
Middle East,Renewables,Solar energy,2.32,2012
Middle East,Renewables,Solar energy,1.77,2010
Middle East,Renewables,Multiple renewables,3.75,2017
Middle East,Renewables,Multiple renewables,14.12,2017
Middle East,Renewables,Multiple renewables,0.07,2018
Middle East,Renewables,Multiple renewables,5.34,2017
Middle East,Non-renewables,Nuclear,0.3,2015
Middle East,Non-renewables,Nuclear,0.3,2015
Middle East,Non-renewables,Nuclear,0.27,2019
Middle East,Renewables,Multiple renewables,4.67,2019
Middle East,Renewables,Multiple renewables,0.18,2016
Middle East,Renewables,Solar energy,111.08,2016
Middle East,Renewables,Solar energy,6.16,2012
Middle East,Renewables,Solar energy,111.08,2012
Middle East,Renewables,Solar energy,2.73,2014
Africa,Renewables,Multiple renewables,0.93,2015
Africa,Renewables,Multiple renewables,0.01,2015
Africa,Renewables,Multiple renewables,0.89,2015
Africa,Renewables,Multiple renewables,0.65,2016
Africa,Renewables,Multiple renewables,0.01,2016
Africa,Renewables,Multiple renewables,0.02,2019
Africa,Renewables,Multiple renewables,0.01,2017
Africa,Renewables,Multiple renewables,0.01,2017
Africa,Renewables,Multiple renewables,0.01,2007
Africa,Renewables,Multiple renewables,0,2008
Africa,Renewables,Multiple renewables,0.02,2008
Africa,Renewables,Solar energy,0.02,2011
Africa,Renewables,Solar energy,0.02,2017
Africa,Renewables,Solar energy,0,2019
Africa,Renewables,Solar energy,0.01,2014
Africa,Renewables,Solar energy,0.02,2014
Africa,Renewables,Solar energy,0.45,2014
Africa,Renewables,Solar energy,0.36,2014
Africa,Renewables,Solar energy,0.01,2009
Africa,Renewables,Solar energy,0.01,2013
Africa,Renewables,Solar energy,0.08,2013
Africa,Renewables,Solar energy,0.96,2013
Africa,Renewables,Multiple renewables,0.09,2013
Africa,Renewables,Multiple renewables,0.77,2014
Africa,Renewables,Multiple renewables,0.01,2014
Africa,Renewables,Multiple renewables,0.04,2015
Africa,Renewables,Multiple renewables,0.02,2016
Africa,Non-renewables,Nuclear,0.01,2017
Africa,Renewables,Solar energy,0.01,2018
Africa,Non-renewables,Nuclear,0.02,2020
Africa,Renewables,Solar energy,0.25,2013
Africa,Renewables,Multiple renewables,0.02,2004
Africa,Renewables,Multiple renewables,0.13,2017
Africa,Non-renewables,Nuclear,0.01,2005
Africa,Non-renewables,Nuclear,0.01,2006
Africa,Renewables,Solar energy,0.16,2007
Africa,Renewables,Multiple renewables,0.06,2008
Africa,Renewables,Solar energy,0.15,2019
Africa,Non-renewables,Nuclear,0.08,2012
Africa,Non-renewables,Nuclear,0.3,2019
Africa,Non-renewables,Nuclear,0.05,2020
Africa,Non-renewables,Nuclear,0.02,2018
Africa,Non-renewables,Nuclear,0.29,2019
Africa,Non-renewables,Nuclear,0,2010
Africa,Non-renewables,Nuclear,0.58,2011
Africa,Renewables,Multiple renewables,0.03,2012
Africa,Renewables,Wind energy,0.02,2013
Africa,Renewables,Solar energy,0.02,2014
Africa,Renewables,Solar energy,1.18,2016
Africa,Renewables,Solar energy,0,2017
Africa,Renewables,Solar energy,0,2019
Africa,Renewables,Solar energy,0.07,2011
Africa,Renewables,Solar energy,0.23,2012
Africa,Non-renewables,Nuclear,0.21,2015
Africa,Non-renewables,Nuclear,0.21,2017
Africa,Renewables,Multiple renewables,0,2018
Africa,Renewables,Multiple renewables,0,2016
Africa,Renewables,Wind energy,0.14,2018
Africa,Renewables,Wind energy,0.16,2019
Africa,Renewables,Multiple renewables,0,2018
Africa,Renewables,Multiple renewables,0.03,2012
Africa,Renewables,Multiple renewables,0.01,2017
Africa,Non-renewables,Fossil fuels n.e.s.,0.04,2018
Africa,Non-renewables,Fossil fuels n.e.s.,0.01,2005
Africa,Renewables,Solar energy,0.03,2019
Africa,Renewables,Solar energy,0.01,2014
Africa,Renewables,Solar energy,0.03,2018
Africa,Renewables,Multiple renewables,0.01,2018
Africa,Renewables,Multiple renewables,0.01,2019
Africa,Renewables,Multiple renewables,0.01,2007
Africa,Non-renewables,Nuclear,0.29,2018
Africa,Renewables,Solar energy,20.85,2019
Africa,Renewables,Solar energy,0.2,2010
Africa,Renewables,Solar energy,0.15,2011
Africa,Renewables,Solar energy,0.11,2012
Africa,Renewables,Solar energy,0.06,2013
Africa,Non-renewables,Fossil fuels n.e.s.,1.62,2014
Africa,Renewables,Wind energy,18.24,2016
Africa,Renewables,Solar energy,18.24,2017
Africa,Renewables,Multiple renewables,0.04,2018
Africa,Renewables,Multiple renewables,0,2019
Africa,Renewables,Solar energy,0.02,2010
Africa,Renewables,Solar energy,0.05,2011
Africa,Renewables,Solar energy,0,2012
Africa,Renewables,Multiple renewables,0.06,2013
Africa,Renewables,Multiple renewables,0.03,2014
Africa,Renewables,Solar energy,0.01,2016
Africa,Renewables,Multiple renewables,0.06,2017
Africa,Renewables,Multiple renewables,0.1,2017
Africa,Renewables,Multiple renewables,0.05,2013
Africa,Renewables,Multiple renewables,0,2014
Africa,Renewables,Multiple renewables,0.01,2015
Africa,Renewables,Solar energy,0.12,2014
Africa,Renewables,Solar energy,0.14,2015
Africa,Renewables,Solar energy,0,2008
Africa,Renewables,Solar energy,0,2016
Africa,Renewables,Solar energy,0,2017
Africa,Renewables,Solar energy,0,2011
Africa,Renewables,Multiple renewables,0.1,2019
Africa,Renewables,Solar energy,0.01,2019
Africa,Renewables,Multiple renewables,9.13,2018
Africa,Renewables,Multiple renewables,4.78,2015
Africa,Renewables,Solar energy,0.01,2016
Africa,Non-renewables,Nuclear,0.58,2019
Africa,Renewables,Solar energy,0.21,2013
Africa,Renewables,Multiple renewables,0.02,2018
Africa,Renewables,Solar energy,0.01,2019
Africa,Renewables,Solar energy,6.53,2018
Africa,Non-renewables,Fossil fuels n.e.s.,2.83,2019
Africa,Renewables,Multiple renewables,5.44,2017
Africa,Renewables,Solar energy,83.38,2017
Africa,Renewables,Solar energy,37.5,2016
Africa,Non-renewables,Fossil fuels n.e.s.,12.37,2017
Africa,Renewables,Solar energy,0.78,2018
Africa,Non-renewables,Fossil fuels n.e.s.,0,2017
Africa,Renewables,Multiple renewables,20.85,2017
Africa,Renewables,Multiple renewables,21.12,2017
Africa,Renewables,Multiple renewables,0.14,2017
Africa,Renewables,Multiple renewables,34.62,2017
Africa,Renewables,Solar energy,0.56,2019
Africa,Renewables,Solar energy,57.2,2017
Africa,Renewables,Solar energy,0.83,2017
Africa,Renewables,Solar energy,0.37,2004
Africa,Renewables,Solar energy,0,2004
Africa,Renewables,Multiple renewables,0.35,2004
Africa,Renewables,Multiple renewables,0.16,2004
Africa,Renewables,Solar energy,0.01,2004
Africa,Non-renewables,Fossil fuels n.e.s.,3.84,2018
Africa,Renewables,Multiple renewables,8.54,2019
Africa,Renewables,Multiple renewables,0.01,2018
Africa,Renewables,Multiple renewables,0.02,2019
Africa,Renewables,Multiple renewables,0.01,2006
